,Imie,Rozszerzenie,Nazwa pliku,Liczba znaków:,Liczba wierszy,Laczna dlugosc komentarzy,Liczba pustych linii,Najdłuższe słowo,Długośc pierwszego komentarza,Srednia liczba znaków w wierszu,Liczba wierszy zakonczonych srednikiem,"Liczba wierszy, ktore powinny sie konczyc srednikiem","Liczba operatorów: +, -, *, /, ), (",Liczba operatoro otoczonych spacjami,Liczba zbyt długich linii
0,Sebastian,m,heron.m,81,4,0,0,sqrt(s*(s-a)*(s-b)*(s-c));,0,19.5,2,2,21,2,0
1,Sebastian,m,MN_IAD_lab1.m,2289,163,49,29,disp(load('lab1.mat').wyr1);,34,13.042944785276074,72,79,217,4,1
2,Sebastian,m,myfunc.m,44,3,0,0,2*x*sin(x^2);,0,14.0,1,1,6,0,0
3,Sebastian,m,func.m,71,4,1,0,function,1,17.0,1,1,6,0,0
4,Sebastian,m,lab_02.m,375,26,7,6,"{'N','x','yaprox','yreal','yblad'};",1,13.423076923076923,13,13,34,0,1
5,Sebastian,m,szeregBlad.m,357,12,1,3,randi(length(x))*pi/100;,1,28.833333333333332,3,4,32,1,1
6,Sebastian,m,szeregSin.m,464,20,3,3,factorial(2*k+1));,2,22.25,5,8,39,4,0
7,Sebastian,m,func.m,50,3,0,0,function,0,16.0,1,1,6,2,0
8,Sebastian,m,lab_3.m,183,14,2,8,"pochodnaWykres(x,",1,12.071428571428571,4,4,12,0,0
9,Sebastian,m,pochodnaD.m,116,4,1,0,pochodnaD(x),1,28.25,1,1,6,0,0
10,Sebastian,m,pochodnaP.m,223,7,1,0,"pochodnaP(x,",1,31.0,2,2,36,4,1
11,Sebastian,m,pochodnaTable.m,299,4,0,0,"pochodnaTable(x,f,pd,pp,n)",0,74.0,2,2,32,3,2
12,Sebastian,m,pochodnaWykres.m,736,24,1,0,"pochodnaWykres(x,f,pd,pp,n)",1,29.708333333333332,18,21,87,1,0
13,Sebastian,m,sin3dpokazowe2.m,509,34,5,8,camlight('headlight'),5,14.970588235294118,7,21,57,0,1
14,Sebastian,m,lab_4.m,149,9,2,1,"szeregLnPlot(x,",1,15.666666666666666,6,6,10,0,0
15,Sebastian,m,sruba_pokaz.m,360,24,1,4,"plot3(y,x,t,'r');view(0,90);",1,14.0,10,19,50,0,0
16,Sebastian,m,szeregLn.m,502,16,6,0,(((-1).^Nmat).*(xmat.^(Nmat+1)))./(factorial(Nmat+1));,1,30.4375,6,6,50,2,1
17,Sebastian,m,szeregLnPlot.m,1152,37,5,3,-------------------------------------------------------------------------------------,1,30.16216216216216,18,25,319,0,6
18,Sebastian,m,zajecia4.m,657,36,22,4,"hist(y,[-1,0,0.5,1])%,[-1,-0.5,0,0.5,1])",21,17.25,4,8,56,0,0
19,Sebastian,m,lab_5.m,447,25,2,1,"disp(""Przykład",1,16.92,14,22,46,4,0
20,Sebastian,m,rozklad.m,525,23,6,5,okreslonosc_formy],4,21.869565217391305,6,6,80,8,1
21,Sebastian,m,funkcjadointerpolacji.m,84,5,0,2,"nthroot(sin(x).^5-cos(x).^(3),",0,16.0,1,1,11,0,0
22,Sebastian,m,ilorazr.m,311,13,4,2,interpolacyjnego,4,23.0,3,3,34,6,0
23,Sebastian,m,main.m,429,18,4,1,"wielowykres(@funkcjadointerpolacji,",1,22.88888888888889,10,13,35,0,0
24,Sebastian,m,myhorner.m,180,8,0,2,length(x)-1:-1:1,0,21.625,2,2,34,5,0
25,Sebastian,m,wielowykres.m,588,22,0,3,"'HandleVisibility','off')",0,25.772727272727273,5,17,57,0,2
26,Sebastian,m,func.m,50,3,0,0,function,0,16.0,1,1,6,2,0
27,Sebastian,m,lab_3.m,183,14,2,8,"pochodnaWykres(x,",1,12.071428571428571,4,4,12,0,0
28,Sebastian,m,pochodnaD.m,116,4,1,0,pochodnaD(x),1,28.25,1,1,6,0,0
29,Sebastian,m,pochodnaP.m,223,7,1,0,"pochodnaP(x,",1,31.0,2,2,36,4,1
30,Sebastian,m,pochodnaTable.m,299,4,0,0,"pochodnaTable(x,f,pd,pp,n)",0,74.0,2,2,32,3,2
31,Sebastian,m,pochodnaWykres.m,736,24,1,0,"pochodnaWykres(x,f,pd,pp,n)",1,29.708333333333332,18,21,87,1,0
32,Sebastian,m,funkcjaPodCalka.m,79,3,0,0,funkcjaPodCalka(x),0,25.666666666666668,1,1,8,2,0
33,Sebastian,m,main.m,7486,172,145,19,rysujWykresWartosciDlaRoznychPrzedzialow(@(x),2,42.52325581395349,8,8,377,11,31
34,Sebastian,m,romberg.m,1168,35,18,4,"fprintf(""Ekstrapolacja",18,32.4,5,9,57,10,0
35,Sebastian,m,rombergZWarunkiemStopu.m,2456,62,30,4,"rombergZWarunkiemStopu(a,",30,38.61290322580645,12,24,103,16,2
36,Sebastian,m,rysujWykresCzasuWykonaniaRomberga.m,692,21,1,3,"'MarkerFaceAlpha',.25,'MarkerEdgeAlpha',.25)",1,32.0,4,13,39,0,3
37,Sebastian,m,rysujWykresKwadraturyBlad.m,1813,39,8,2,"""x^3*cos(sin(5*x))"",""(x^2+5)^{cos(x^2)}""],'FitBoxToText','on');",8,45.51282051282051,8,23,85,0,6
38,Sebastian,m,rysujWykresRombergBlad.m,1988,53,11,7,"""x^3*cos(sin(5*x))"",""(x^2+5)^{cos(x^2)}""],'FitBoxToText','on');",9,36.528301886792455,13,27,106,0,2
39,Sebastian,m,rysujWykresWartosciDlaRoznychPrzedzialow.m,1695,33,6,2,"rysujWykresWartosciDlaRoznychPrzedzialow(funkcja,",6,50.39393939393939,8,21,52,2,8
40,Sebastian,m,skryptTestujacy.m,8259,212,68,46,(2.*sin((x.^225)./2).*cos((x.^225)./2)).^2,2,37.9622641509434,77,84,483,29,32
41,Sebastian,m,zlozonaKwadraturaNewtonaCotesa.m,1505,40,20,3,"zlozonaKwadraturaNewtonaCotesa(a,",17,36.65,10,14,86,17,1
42,Sebastian,m,zlozonaKwadraturaNewtona_3_8.m,1470,41,24,4,R(i)=sum(y(1:length(y)-1)+y(2:length(y))+3*f((a+H/3:H:b-H+H/3))+3*f((a+2*H/3:H:b-H+2*H/3)))*H/8;,15,34.8780487804878,6,7,169,15,1
43,Sebastian,m,zlozonaKwadraturaProstokatow.m,1074,34,17,5,"zlozonaKwadraturaProstokatow(a,",14,30.61764705882353,4,6,67,11,0
44,Sebastian,m,zlozonaKwadraturaSimpsona.m,1359,40,23,4,R(i)=sum(y(1:length(y)-1)+y(2:length(y))+4*f(((a:H:b-H)+(a+H:H:b))/2))*H/6;,15,33.0,6,7,136,12,1
45,Sebastian,m,zlozonaKwadraturaTrapezow.m,1232,38,21,4,R(i)=sum(y(1:length(y)-1)+y(2:length(y)))*H/2;,14,31.44736842105263,6,7,102,15,0
46,Sebastian,m,funkcjaPodCalka.m,79,3,0,0,funkcjaPodCalka(x),0,25.666666666666668,1,1,8,2,0
47,Sebastian,m,main.m,7486,172,145,19,rysujWykresWartosciDlaRoznychPrzedzialow(@(x),2,42.52325581395349,8,8,377,11,31
48,Sebastian,m,romberg.m,1168,35,18,4,"fprintf(""Ekstrapolacja",18,32.4,5,9,57,10,0
49,Sebastian,m,rombergZWarunkiemStopu.m,2456,62,30,4,"rombergZWarunkiemStopu(a,",30,38.61290322580645,12,24,103,16,2
50,Sebastian,m,rysujWykresCzasuWykonaniaRomberga.m,692,21,1,3,"'MarkerFaceAlpha',.25,'MarkerEdgeAlpha',.25)",1,32.0,4,13,39,0,3
51,Sebastian,m,rysujWykresKwadraturyBlad.m,1813,39,8,2,"""x^3*cos(sin(5*x))"",""(x^2+5)^{cos(x^2)}""],'FitBoxToText','on');",8,45.51282051282051,8,23,85,0,6
52,Sebastian,m,rysujWykresRombergBlad.m,1988,53,11,7,"""x^3*cos(sin(5*x))"",""(x^2+5)^{cos(x^2)}""],'FitBoxToText','on');",9,36.528301886792455,13,27,106,0,2
53,Sebastian,m,rysujWykresWartosciDlaRoznychPrzedzialow.m,1695,33,6,2,"rysujWykresWartosciDlaRoznychPrzedzialow(funkcja,",6,50.39393939393939,8,21,52,2,8
54,Sebastian,m,skryptTestujacy.m,8259,212,68,46,(2.*sin((x.^225)./2).*cos((x.^225)./2)).^2,2,37.9622641509434,77,84,483,29,32
55,Sebastian,m,zlozonaKwadraturaNewtonaCotesa.m,1505,40,20,3,"zlozonaKwadraturaNewtonaCotesa(a,",17,36.65,10,14,86,17,1
56,Sebastian,m,zlozonaKwadraturaNewtona_3_8.m,1470,41,24,4,R(i)=sum(y(1:length(y)-1)+y(2:length(y))+3*f((a+H/3:H:b-H+H/3))+3*f((a+2*H/3:H:b-H+2*H/3)))*H/8;,15,34.8780487804878,6,7,169,15,1
57,Sebastian,m,zlozonaKwadraturaProstokatow.m,1074,34,17,5,"zlozonaKwadraturaProstokatow(a,",14,30.61764705882353,4,6,67,11,0
58,Sebastian,m,zlozonaKwadraturaSimpsona.m,1359,40,23,4,R(i)=sum(y(1:length(y)-1)+y(2:length(y))+4*f(((a:H:b-H)+(a+H:H:b))/2))*H/6;,15,33.0,6,7,136,12,1
59,Sebastian,m,zlozonaKwadraturaTrapezow.m,1232,38,21,4,R(i)=sum(y(1:length(y)-1)+y(2:length(y)))*H/2;,14,31.44736842105263,6,7,102,15,0
60,Sebastian,m,heron.m,81,4,0,0,sqrt(s*(s-a)*(s-b)*(s-c));,0,19.5,2,2,21,2,0
