,Imie,Rozszerzenie,Nazwa_pliku,Data_utworzenia,Data_ostatniej_modefikacji,Liczba_linii,Liczba_wierszy,Liczba_znaków,<=,>=,<,>,==,private,public,protected,abstract,final,static,default,void,byte,short,int,long,float,double,boolean,char,String,class,enum,interface,annotation,extends,new,if,else,return,throw,throws,import,catch,package,liczba_znakow_w_komantarzu_w_linii,liczba_komentarzy_w_linii,liczba_znakow_w_komentarzu_w_bloku,liczba_komentarzy_w_bloku,liczba_cudzyslowow_apostrofowych,liczba_cudzyslowow_pojedynczych,Najdluzszy_wyraz,Brak odstepu,Liczba linijek odstepu,2 linijki odstepu,1 linijki odstepu,3 linijki odstepu
0,Sebastian2,java,Artykuly.java,2023-10-03,2023-04-24,11,24,221,0,0,0,0,0,0,2,2,2,0,1,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,protected,203,11,3,5,
1,Sebastian2,java,Baton.java,2023-10-03,2023-04-24,14,34,285,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,procentowaZawartoscCukruWMasie,260,14,2,10,
2,Sebastian2,java,JedzenieStale.java,2023-10-03,2023-04-24,6,12,97,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,JedzenieStale,88,6,2,2,
3,Sebastian2,java,Napoj.java,2023-10-03,2023-04-24,20,48,384,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,procentowaZawartoscCukruWMasie,348,20,3,14,
4,Sebastian2,java,Rogalik.java,2023-10-03,2023-04-24,15,34,290,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,procentowaZawartoscCukruWMasie,264,15,3,9,
5,Sebastian2,java,AutomatSprzedajacy.java,2023-10-03,2023-04-24,73,185,1730,0,0,0,0,4,0,5,3,0,0,0,0,3,0,0,7,0,0,0,0,0,0,1,0,0,0,0,4,5,0,1,0,1,11,0,1,211,5,0,0,0,0,AutomatSprzedajacy,1590,73,5,63,
6,Sebastian2,java,DlaKupca.java,2023-10-03,2023-04-24,13,20,221,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,interface,199,13,3,7,
7,Sebastian2,java,DlaSerewisanta.java,2023-10-03,2023-04-24,14,24,273,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,DlaSerewisanta,250,14,4,6,
8,Sebastian2,java,TooMuchSugarException.java,2023-10-03,2023-04-24,8,15,155,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,TooMuchSugarException,142,8,2,4,
9,Sebastian2,java,Demonstrator.java,2023-10-03,2023-04-24,21,45,488,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,4,0,1,0,0,0,0,0,0,AutomatSprzedajacy,451,21,4,13,
10,Sebastian2,java,Kupiec.java,2023-10-03,2023-04-24,13,20,181,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,protected,159,13,3,7,
11,Sebastian2,java,Serwisant.java,2023-10-03,2023-04-24,5,7,48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Serwisant,41,5,2,1,
12,Sebastian2,java,Swiat.java,2023-10-03,2023-04-24,5,7,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,package,33,5,2,1,
13,Sebastian2,java,Bozena.java,2023-10-03,2023-04-03,27,61,556,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,implements,508,27,5,17,
14,Sebastian2,java,Demonstrator.java,2023-10-03,2023-04-03,40,117,961,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,0,0,0,1,0,1,0,0,0,0,8,0,Demonstrator,885,40,3,34,
15,Sebastian2,java,Metodable.java,2023-10-03,2023-04-03,5,10,99,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,interface,91,5,1,3,
16,Sebastian2,java,Pole.java,2023-10-03,2023-04-03,40,122,899,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6,6,4,0,0,0,2,0,1,0,0,0,0,0,0,package,823,40,3,34,
17,Sebastian2,java,Material.java,2023-10-03,2023-04-03,7,10,95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Material,83,7,1,5,
18,Sebastian2,java,Mina.java,2023-10-03,2023-04-03,18,40,302,0,0,0,0,0,2,3,1,1,0,1,0,1,1,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,protected,269,18,2,14,
19,Sebastian2,java,MinaPrzeciwczolgowa.java,2023-10-03,2023-04-03,28,49,446,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,1,1,1,3,0,0,1,0,1,0,0,0,0,6,0,MinaPrzeciwczolgowa,395,28,4,20,
20,Sebastian2,java,MinaPrzeciwpiechotna.java,2023-10-03,2023-04-03,41,80,639,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,1,4,3,3,0,0,1,0,1,0,0,0,0,6,0,MinaPrzeciwpiechotna,563,41,5,31,
21,Sebastian2,java,Obiekt.java,2023-10-03,2023-04-03,14,28,270,0,0,0,0,0,1,4,0,3,0,0,0,1,3,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,abstract,245,14,2,10,
22,Sebastian2,java,Purchawka.java,2023-10-03,2023-04-03,22,38,354,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,2,0,0,1,0,1,0,0,0,0,4,0,Purchawka,315,22,4,14,
23,Sebastian2,java,Roslina.java,2023-10-03,2023-04-03,12,21,198,0,0,0,0,0,1,2,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,abstract,179,12,4,4,
