,Imie,Rozszerzenie,Nazwa_pliku,Data_utworzenia,Data_ostatniej_modefikacji,Liczba_linii,Liczba_wierszy,Liczba_znaków,<=,>=,<,>,==,private,public,protected,abstract,final,static,default,void,byte,short,int,long,float,double,boolean,char,String,class,enum,interface,annotation,extends,new,if,else,return,throw,throws,import,catch,package,liczba_znakow_w_komantarzu_w_linii,liczba_komentarzy_w_linii,liczba_znakow_w_komentarzu_w_bloku,liczba_komentarzy_w_bloku,liczba_cudzyslowow_apostrofowych,liczba_cudzyslowow_pojedynczych,Najdluzszy_wyraz,Brak odstepu,Liczba linijek odstepu,1 linijki odstepu,2 linijki odstepu
0,Sebastian3,java,module-info.java,2023-10-03,2023-05-16,9,13,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,pergalas,50,8,8,
1,Sebastian3,java,Greetings.java,2023-10-03,2023-05-16,15,25,212,0,0,0,0,0,1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,Greetings,185,15,11,2.0
2,Sebastian3,java,Demonstrator.java,2023-10-03,2023-05-16,30,75,748,0,0,0,0,0,1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,3,0,1,0,0,7,2,0,0,Demonstrator,691,30,26,2.0
3,Sebastian3,java,First.java,2023-10-03,2023-05-16,21,36,336,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0,protected,297,21,17,2.0
4,Sebastian3,java,MyFavouriteSecond.java,2023-10-03,2023-05-16,8,10,153,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,MyFavouriteSecond,141,8,2,3.0
5,Sebastian3,java,Second.java,2023-10-03,2023-05-16,20,34,327,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,6,0,package,291,20,14,3.0
6,Sebastian3,java,Third.java,2023-10-03,2023-05-16,10,15,145,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,package,127,10,8,1.0
7,Sebastian3,java,Kot.java,2023-10-03,2023-05-16,10,18,161,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,biezocaLiczbaZebow,145,10,4,3.0
8,Sebastian3,java,Mrowkojad.java,2023-10-03,2023-05-16,5,8,98,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Mrowkojad,91,5,1,2.0
9,Sebastian3,java,Pies.java,2023-10-03,2023-05-16,12,17,167,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,biezocaLiczbaZebow,146,12,8,2.0
