"","Ilosc.kropek","Ilosc.słow.","Ilosc.przecinkow","Imie"
"1",18,257,9,"Malgosia"
"2",20,260,16,"Malgosia"
"3",1,247,24,"Malgosia"
"4",16,222,9,"Malgosia"
"5",17,114,7,"Malgosia"
"6",33,394,25,"Malgosia"
"7",91,1052,113,"Malgosia"
"8",9,308,40,"Malgosia"
"9",3,125,6,"Malgosia"
"10",25,673,73,"Malgosia"
"11",37,505,49,"Malgosia"
"12",167,3734,370,"Malgosia"
"13",20,223,12,"Malgosia"
"14",8,115,6,"Malgosia"
"15",0,143,8,"Malgosia"
"16",29,399,33,"Malgosia"
"17",24,313,15,"Malgosia"
"18",724,14830,1542,"Malgosia"
"19",15,261,9,"Malgosia"
"20",17,241,4,"Malgosia"
"21",5,68,4,"Malgosia"
"22",7,113,5,"Malgosia"
"23",22,433,36,"Malgosia"
"24",18,414,36,"Malgosia"
"25",24,541,59,"Malgosia"
"26",131,2048,262,"Malgosia"
"27",63,1065,122,"Malgosia"
"28",27,577,48,"Malgosia"
"29",76,1305,139,"Malgosia"
"30",10,99,2,"Malgosia"
"31",7,63,2,"Malgosia"
"32",59,1544,209,"Malgosia"
"33",3,404,34,"Malgosia"
"34",20,252,14,"Malgosia"
"35",16,244,14,"Malgosia"
"36",11,206,15,"Malgosia"
"37",26,328,23,"Malgosia"
"38",18,201,14,"Malgosia"
"39",4,98,11,"Malgosia"
"40",44,709,65,"Malgosia"
"41",1,287,24,"Malgosia"
"42",15,242,9,"Malgosia"
"43",16,258,9,"Malgosia"
"44",36,416,22,"Malgosia"
"45",17,246,9,"Malgosia"
"46",49,594,35,"Malgosia"
"47",789,11782,1179,"Malgosia"
"48",44,612,50,"Malgosia"
"49",17,238,13,"Malgosia"
"50",4,240,1,"Malgosia"
"51",13,294,37,"Malgosia"
"52",71,1202,76,"Malgosia"
"53",146,1521,178,"Malgosia"
"54",49,574,48,"Malgosia"
"55",14,244,12,"Malgosia"
"56",12,230,11,"Malgosia"
"57",28,384,34,"Malgosia"
"58",19,238,7,"Malgosia"
"59",40,645,45,"Malgosia"
"60",99,1301,104,"Malgosia"
"61",25,484,33,"Malgosia"
"62",18,264,9,"Malgosia"
"63",16,223,26,"Malgosia"
"64",18,260,9,"Malgosia"
"65",277,6619,752,"Malgosia"
"66",15,153,12,"Malgosia"
"67",0,15,0,"Sebastian"
"68",0,343,0,"Sebastian"
"69",0,343,0,"Sebastian"
"70",1,113,1,"Sebastian"
"71",17,561,51,"Sebastian"
"72",0,48,0,"Sebastian"
"73",27,809,59,"Sebastian"
"74",22,399,14,"Sebastian"
"75",10,736,8,"Sebastian"
"76",0,591,6,"Sebastian"
"77",16,395,6,"Sebastian"
"78",57,678,53,"Sebastian"
"79",57,509,25,"Sebastian"
"80",54,802,60,"Sebastian"
"81",124,110,3,"Sebastian"
"82",29,238,11,"Sebastian"
"83",0,136,0,"Sebastian"
"84",13,203,34,"Sebastian"
"85",10,292,5,"Sebastian"
"86",13,276,23,"Sebastian"
