,Imie,Rozszerzenie,Nazwa_pliku,Data_utworzenia,Data_ostatniej_modefikacji,Liczba_linii,Liczba_wierszy,Liczba_znaków,<=,>=,<,>,==,private,public,protected,abstract,final,static,default,void,byte,short,int,long,float,double,boolean,char,String,class,enum,interface,annotation,extends,new,if,else,return,throw,throws,import,catch,package,liczba_znakow_w_komantarzu_w_linii,liczba_komentarzy_w_linii,liczba_znakow_w_komentarzu_w_bloku,liczba_komentarzy_w_bloku,liczba_cudzyslowow_apostrofowych,liczba_cudzyslowow_pojedynczych,Najdluzszy_wyraz,Brak odstepu,Liczba linijek odstepu,2 linijki odstepu,1 linijki odstepu,3 linijki odstepu,5 linijki odstepu,4 linijki odstepu,7 linijki odstepu,6 linijki odstepu,10 linijki odstepu
0,Malgosia,java,Main.java,2023-04-03,2023-04-03,13,29,246,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,package,223,13.0,2.0,9.0,,,,,,
1,Malgosia,java,Bozena.java,2023-04-03,2023-04-03,28,50,486,0,0,0,0,0,1,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,1,47,1,0,0,0,0,implements,435,27.0,3.0,21.0,,,,,,
2,Malgosia,java,ElementyPodloza.java,2023-04-01,2023-04-03,28,48,511,0,0,0,0,0,1,5,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,2,0,ElementyPodloza,462,28.0,6.0,16.0,,,,,,
3,Malgosia,java,ObiektyBezpieczne.java,2023-04-01,2023-04-03,22,34,343,0,0,0,0,0,1,4,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,ObiektyBezpieczne,306,22.0,2.0,12.0,2.0,,,,,
4,Malgosia,java,Purchawka.java,2023-04-01,2023-04-03,26,43,456,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,58,1,0,0,4,0,Purchawka,408,26.0,3.0,20.0,,,,,,
5,Malgosia,java,Trawa.java,2023-04-01,2023-04-03,17,30,302,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,58,1,0,0,2,0,ObiektyBezpieczne,273,17.0,2.0,10.0,1.0,,,,,
6,Malgosia,java,Miny.java,2023-04-01,2023-04-03,55,99,960,0,0,0,0,0,3,10,0,0,0,3,0,5,0,0,4,0,0,0,2,0,0,1,0,0,0,1,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,ElementyPodloza,862,55.0,11.0,33.0,,,,,,
7,Malgosia,java,Obudowa.java,2023-04-01,2023-04-03,5,10,80,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,package,72,5.0,1.0,3.0,,,,,,
8,Malgosia,java,PrzeciwczolgowaMina.java,2023-04-01,2023-04-03,31,60,626,0,0,0,0,0,1,6,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,0,1,45,1,0,0,6,0,PrzeciwczolgowaMina,569,31.0,4.0,23.0,,,,,,
9,Malgosia,java,PrzeciwpiechotnaMina.java,2023-04-01,2023-04-03,40,82,816,0,0,0,0,4,1,6,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,5,3,2,0,0,0,0,1,93,2,0,0,6,0,PrzeciwpiechotnaMina,741,40.0,4.0,32.0,,,,,,
10,Malgosia,java,Dzwieki.java,2023-04-01,2023-04-03,5,9,77,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,interface,69,5.0,1.0,3.0,,,,,,
11,Malgosia,java,MetodyRozne.java,2023-04-01,2023-04-03,6,10,95,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,MetodyRozne,86,6.0,2.0,2.0,,,,,,
