,Imie,Rozszerzenie,Nazwa_pliku,Data_utworzenia,Data_ostatniej_modefikacji,Liczba_linii,Liczba_wierszy,Liczba_znaków,<=,>=,<,>,==,private,public,protected,abstract,final,static,default,void,byte,short,int,long,float,double,boolean,char,String,class,enum,interface,annotation,extends,new,if,else,return,throw,throws,import,catch,package,liczba_znakow_w_komantarzu_w_linii,liczba_komentarzy_w_linii,liczba_znakow_w_komentarzu_w_bloku,liczba_komentarzy_w_bloku,liczba_cudzyslowow_apostrofowych,liczba_cudzyslowow_pojedynczych,Najdluzszy_wyraz,Brak odstepu,Liczba linijek odstepu,2 linijki odstepu,1 linijka odstepu,3 linijki odstepu,4 linijki odstepu,1 linijki odstepu,10 linijki odstepu
0,Sebastian,java,FabrykaRTV.java,2023-12-18,2023-10-26,114,301,3232,0,0,0,0,0,5,14,7,2,1,3,0,2,2,0,11,0,0,0,1,0,6,5,0,0,0,3,2,0,0,3,0,0,3,0,1,71,4,0,0,42,14,urzadzenieRTV,3032,113,15,67,4.0,1.0,,
1,Sebastian,java,Main.java,2023-12-18,2023-12-17,21,47,597,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,75,1,0,0,10,0,FabrykaRTV,563,21,5,7,1.0,,1.0,
2,Sebastian,java,Apis.java,2023-12-18,2023-10-26,192,572,5740,0,0,0,0,1,7,28,3,1,0,5,0,13,1,0,13,0,0,0,1,0,7,6,0,0,0,3,5,7,3,7,0,0,1,0,0,84,5,0,0,66,6,iloscWyprodukowanegoMiodu,5377,192,12,155,4.0,,1.0,
3,Sebastian,java,Main.java,2023-12-18,2023-10-26,61,131,1729,0,0,0,0,0,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,375,14,0,0,10,0,posortowane,1619,61,11,38,,,1.0,
4,Sebastian,java,Main.java,2023-12-18,2023-10-30,48,58,1590,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,28,0,Lotnisko,1505,47,9,29,,,,
5,Sebastian,java,Lotnisko.java,2023-12-18,2023-10-30,313,906,11427,0,0,0,0,9,8,26,4,2,0,5,0,14,2,0,34,0,0,0,0,0,9,5,0,0,0,3,7,21,11,9,4,3,2,4,1,254,8,0,0,58,3,sortowaniePoPredkosciMaksymalnej,10845,313,32,232,4.0,1.0,1.0,
6,Sebastian,java,Nazwable.java,2023-12-18,2023-10-29,7,10,93,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,interface,82,7,2,2,,,1.0,
7,Sebastian,java,SortowanieLosowe.java,2023-12-18,2023-10-30,7,10,101,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,SortowanieLosowe,90,7,2,2,,,1.0,
8,Sebastian,java,StanSamolotu.java,2023-12-18,2023-10-29,6,10,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,StanSamolotu,81,6,2,1,,,1.0,
9,Sebastian,java,WyjatekLotniczy.java,2023-12-18,2023-10-29,46,127,1374,0,0,0,0,0,2,12,0,2,0,4,0,0,2,0,2,0,0,0,0,0,5,5,0,0,0,5,0,0,0,0,0,0,0,0,1,118,4,0,0,12,0,WyjatekPrzeladowaniaPasazerow,1300,46,11,14,3.0,,1.0,
